PLZ;Bestand_PKW;Bestand_BEV
01067;6961;374
01069;8595;440
01097;6351;211
01099;10496;298
01108;3379;94
01109;11064;299
01127;5243;77
01129;8939;200
01139;9023;202
01156;7512;188
01157;10504;148
01159;11506;237
01169;6202;92
01187;6898;142
01189;5259;129
01217;6933;111
01219;8610;183
01237;6668;115
01239;5781;157
01257;7817;158
01259;9605;151
01277;13985;234
01279;9409;98
01307;8431;157
01309;14103;277
01324;4493;109
01326;5966;217
01328;7493;162
01445;19423;393
01454;14080;262
01458;6477;168
01465;2412;54
01468;5587;139
01471;4687;68
01477;2907;45
01558;7995;82
01561;13200;155
01587;5361;87
01589;4673;59
01591;4380;61
01594;4124;43
01609;6373;51
01612;4658;59
01616;2158;15
01619;3517;48
01623;2879;25
01640;11479;205
01662;14212;283
01665;11073;191
01683;6676;84
01689;9158;186
01705;22083;372
01723;9209;247
01728;6765;157
01731;2905;61
01734;2843;49
01737;4083;62
01738;721;12
01744;8939;158
01762;709;10
01768;4219;96
01773;4410;47
01774;4387;50
01776;509;0
01778;256;0
01796;24161;491
01809;13977;218
01814;3424;26
01816;3330;26
01819;1696;16
01824;3668;46
01825;861;6
01829;963;18
01833;6457;66
01844;7358;62
01847;1907;22
01848;1971;11
01855;5194;42
01877;10752;116
01896;7142;100
01900;5967;102
01904;4912;40
01906;1888;15
01909;2475;29
01917;10031;198
01920;11509;157
01936;7486;99
01945;7185;70
01968;13415;155
01979;8681;98
01983;5127;64
01987;3486;46
01990;1866;16
01993;1977;22
01994;748;3
01996;71;0
01998;737;0
02625;20623;335
02627;7240;62
02633;2777;27
02681;6508;55
02689;4147;50
02692;5069;96
02694;5833;55
02699;4167;62
02708;14986;212
02727;3089;31
02730;3657;32
02733;2928;29
02736;2259;17
02739;2609;23
02742;2026;18
02747;3391;40
02748;2087;15
02763;13987;152
02779;3925;46
02782;2107;7
02785;2489;15
02788;2352;30
02791;3138;17
02794;2197;13
02796;933;3
02797;824;4
02799;519;0
02826;11552;170
02827;8721;133
02828;5560;66
02829;6463;64
02894;4091;54
02899;2304;22
02906;10550;87
02923;3603;26
02929;2703;17
02943;11013;78
02953;3194;16
02956;1538;4
02957;3000;7
02959;2834;36
02977;17135;237
02979;3799;69
02991;5007;35
02994;4031;57
02997;3684;42
02999;3584;40
03042;7978;100
03044;8792;176
03046;10014;193
03048;5531;49
03050;6384;128
03051;4849;86
03052;824;15
03053;440;4
03054;1515;23
03055;2234;28
03058;3555;55
03096;5999;75
03099;6493;131
03103;1221;13
03116;3768;43
03119;1975;17
03130;16219;225
03149;11686;130
03159;3108;33
03172;11330;109
03185;6180;84
03197;977;11
03205;5230;73
03222;8974;148
03226;4721;38
03229;1949;12
03238;12793;145
03246;822;6
03249;2191;22
03253;7302;111
04103;5829;244
04105;6703;176
04107;7255;423
04109;5296;327
04129;7389;306
04155;6416;114
04157;9956;128
04158;9905;409
04159;11369;216
04177;6517;110
04178;9087;260
04179;8596;390
04205;5582;78
04207;8341;192
04209;6129;32
04229;11716;258
04249;7948;199
04275;8062;282
04277;8363;150
04279;5606;59
04288;7095;155
04289;4958;105
04299;6607;124
04315;5285;64
04316;4682;124
04317;5735;105
04318;5699;62
04319;6549;148
04328;2448;106
04329;6395;152
04347;8552;139
04349;6432;77
04356;2024;81
04357;6406;74
04416;14170;560
04420;9958;223
04425;9409;237
04435;11220;240
04442;5945;152
04451;5064;129
04463;3822;119
04509;23819;427
04519;3161;52
04523;4840;83
04539;4480;49
04552;10760;185
04564;3646;77
04565;2176;16
04567;3018;42
04571;3880;105
04574;32;0
04575;3986;58
04579;102;0
04600;15704;211
04603;6476;107
04610;5756;74
04613;1972;15
04617;6393;74
04618;1247;26
04626;10904;114
04639;2861;24
04643;3827;45
04651;5117;65
04654;7762;73
04655;160;0
04657;171;0
04668;21095;362
04680;5103;94
04683;7817;174
04687;2336;39
04703;5043;62
04720;14879;195
04736;4857;48
04741;4247;30
04746;3980;43
04749;3121;31
04758;11400;122
04769;4776;60
04774;2555;24
04779;3174;36
04808;14964;180
04821;4697;110
04824;1486;21
04827;4388;119
04828;3399;84
04838;16667;292
04849;6053;108
04860;10308;123
04861;1414;16
04862;3184;37
04874;2601;25
04880;3304;35
04886;3714;34
04889;2184;17
04895;4626;48
04910;4763;73
04916;7987;111
04924;7501;95
04928;2038;15
04931;1954;16
04932;5600;38
04934;1296;8
04936;3401;25
04938;1449;23
