Country/Region/World,ISO,Sex,Year,Mean BMI (urban),Mean BMI (urban) lower 95% uncertainty interval,Mean BMI (urban) upper 95% uncertainty interval,Mean BMI (rural),Mean BMI (rural) lower 95% uncertainty interval,Mean BMI (rural) upper 95% uncertainty interval,Mean BMI (urban-rural difference),Mean BMI (urban-rural difference) lower 95% uncertainty interval,Mean BMI (urban-rural difference) upper 95% uncertainty interval
World,NA,Men,1985,23.72634,23.54621,23.91409,21.09394,20.86384,21.3287,2.632404,2.44562,2.818852
World,NA,Men,1986,23.76759,23.60381,23.93479,21.14964,20.9422,21.36292,2.617957,2.447538,2.791221
World,NA,Men,1987,23.80819,23.65692,23.96052,21.20635,21.02042,21.39745,2.60184,2.442406,2.763577
World,NA,Men,1988,23.8497,23.71145,23.98816,21.26132,21.09414,21.43282,2.588376,2.441094,2.738028
World,NA,Men,1989,23.89033,23.76307,24.01839,21.31887,21.16506,21.47632,2.571464,2.43209,2.711413
World,NA,Men,1990,23.93127,23.81405,24.0506,21.37706,21.23529,21.52227,2.554217,2.42151,2.685085
World,NA,Men,1991,23.97349,23.86249,24.08588,21.43511,21.30359,21.57029,2.538379,2.412954,2.660683
World,NA,Men,1992,24.01729,23.91172,24.1245,21.49439,21.36877,21.61975,2.522896,2.404055,2.638503
World,NA,Men,1993,24.06233,23.9593,24.16348,21.55499,21.4347,21.67384,2.507337,2.39513,2.618884
World,NA,Men,1994,24.10894,24.00914,24.2052,21.61682,21.50086,21.73285,2.492121,2.384621,2.598311
World,NA,Men,1995,24.15746,24.06132,24.24911,21.68016,21.56669,21.79295,2.477298,2.375626,2.579007
World,NA,Men,1996,24.20822,24.1152,24.29629,21.74534,21.63412,21.85599,2.462884,2.365063,2.560538
World,NA,Men,1997,24.26089,24.17026,24.34499,21.81166,21.7019,21.9187,2.449227,2.355943,2.541867
World,NA,Men,1998,24.31549,24.22846,24.39795,21.87947,21.77235,21.98287,2.436016,2.347357,2.522635
World,NA,Men,1999,24.37145,24.28733,24.45038,21.94841,21.84556,22.05093,2.42304,2.337258,2.505813
World,NA,Men,2000,24.42781,24.34539,24.50675,22.01791,21.91701,22.11848,2.409903,2.328303,2.490035
World,NA,Men,2001,24.48198,24.40451,24.55956,22.08771,21.98874,22.18576,2.394272,2.316661,2.470681
World,NA,Men,2002,24.53486,24.45838,24.61198,22.1576,22.0605,22.2542,2.377259,2.302169,2.45223
World,NA,Men,2003,24.58796,24.51311,24.66475,22.22781,22.13379,22.32058,2.360153,2.288139,2.43387
World,NA,Men,2004,24.64098,24.56581,24.71808,22.29787,22.2054,22.39086,2.343105,2.272115,2.416145
World,NA,Men,2005,24.69354,24.62033,24.77041,22.36728,22.27574,22.45953,2.326264,2.25586,2.400001
World,NA,Men,2006,24.74601,24.67395,24.82139,22.43624,22.34555,22.52826,2.309761,2.240085,2.383384
World,NA,Men,2007,24.79821,24.72652,24.8742,22.50507,22.41533,22.59688,2.293134,2.222922,2.367747
World,NA,Men,2008,24.84939,24.77715,24.92476,22.57346,22.48409,22.66503,2.275925,2.20324,2.352075
World,NA,Men,2009,24.89979,24.82714,24.97691,22.64141,22.55226,22.73437,2.258381,2.183489,2.335324
World,NA,Men,2010,24.94889,24.87315,25.02788,22.7085,22.61694,22.8036,2.24039,2.161435,2.320922
World,NA,Men,2011,24.99765,24.91631,25.07959,22.77564,22.67852,22.87342,2.22201,2.138193,2.305538
World,NA,Men,2012,25.04722,24.95975,25.13458,22.84354,22.73915,22.9484,2.203682,2.11403,2.292028
World,NA,Men,2013,25.0983,25.00162,25.19429,22.91249,22.7978,23.02726,2.185804,2.091082,2.280541
World,NA,Men,2014,25.15106,25.04198,25.25883,22.98233,22.85402,23.11076,2.168733,2.067321,2.271187
World,NA,Men,2015,25.20525,25.07926,25.32911,23.05273,22.9068,23.1979,2.15252,2.041473,2.2642
World,NA,Men,2016,25.26023,25.11618,25.40341,23.12302,22.95704,23.29071,2.137207,2.015326,2.258591
World,NA,Men,2017,25.31538,25.15179,25.48031,23.19251,23.00265,23.38315,2.122865,1.992662,2.25535
World,NA,Women,1985,24.15273,23.93961,24.36966,21.53305,21.26252,21.81083,2.619677,2.402184,2.845375
World,NA,Women,1986,24.18808,23.99494,24.3822,21.58597,21.34567,21.83327,2.602109,2.40649,2.810385
World,NA,Women,1987,24.22328,24.04648,24.39906,21.64,21.42592,21.85879,2.583276,2.40136,2.774823
World,NA,Women,1988,24.25893,24.09807,24.41869,21.6924,21.49862,21.8885,2.566532,2.395943,2.741897
World,NA,Women,1989,24.29452,24.14758,24.4437,21.74842,21.56927,21.92741,2.546098,2.384449,2.70959
World,NA,Women,1990,24.33082,24.19564,24.46707,21.80589,21.64109,21.9687,2.524936,2.374034,2.67833
World,NA,Women,1991,24.36907,24.24504,24.49456,21.8637,21.70903,22.01601,2.505366,2.363525,2.648434
World,NA,Women,1992,24.40935,24.29261,24.52748,21.92283,21.77732,22.06642,2.486519,2.351627,2.620465
World,NA,Women,1993,24.45083,24.34289,24.56348,21.98301,21.84912,22.12115,2.467815,2.342625,2.59336
World,NA,Women,1994,24.4931,24.39027,24.59952,22.04384,21.91544,22.17665,2.449262,2.328871,2.570015
