Jahr;Segment;Gesamt;Anzahl_BEV;
2024;MINIS ZUSAMMEN;80319;16330;
2024;KLEINWAGEN ZUSAMMEN;337045;16107;
2024;KOMPAKTKLASSE ZUSAMMEN;526519;55444;
2024;MITTELKLASSE ZUSAMMEN;253732;23719;
2024;OBERE MITTELKLASSE ZUSAMMEN;112248;31498;
2024;OBERKLASSE ZUSAMMEN;21913;9693;
2024;SUVs ZUSAMMEN;849815;195382;
2024;GELÄNDEWAGEN ZUSAMMEN;318507;15489;
2024;SPORTWAGEN ZUSAMMEN;24722;30;
2024;MINI-VANS ZUSAMMEN;21057;2737;
2024;GROSSRAUM-VANS ZUSAMMEN;63122;2495;
2024;UTILITIES ZUSAMMEN;116599;7956;
2024;WOHNMOBILE ZUSAMMEN;73496;23;
2024;SONSTIGE;18237;3706;
2023;MINIS ZUSAMMEN;140885;57210;
2023;KLEINWAGEN ZUSAMMEN;337635;37288;
2023;KOMPAKTKLASSE ZUSAMMEN;465061;69677;
2023;MITTELKLASSE ZUSAMMEN;300059;43116;
2023;OBERE MITTELKLASSE ZUSAMMEN;86021;10082;
2023;OBERKLASSE ZUSAMMEN;29677;13066;
2023;SUVs ZUSAMMEN;855678;253914;
2023;GELÄNDEWAGEN ZUSAMMEN;323749;21788;
2023;SPORTWAGEN ZUSAMMEN;29861;3;
2023;MINI-VANS ZUSAMMEN;18846;556;
2023;GROSSRAUM-VANS ZUSAMMEN;59305;1672;
2023;UTILITIES ZUSAMMEN;110866;11522;
2023;WOHNMOBILE ZUSAMMEN;67451;46;
2023;SONSTIGE;19515;4279;
2022;MINIS ZUSAMMEN;144546;75811;
2022;KLEINWAGEN ZUSAMMEN;329176;59954;
2022;KOMPAKTKLASSE ZUSAMMEN;422654;54593;
2022;MITTELKLASSE ZUSAMMEN;270116;47341;
2022;OBERE MITTELKLASSE ZUSAMMEN;76603;3277;
2022;OBERKLASSE ZUSAMMEN;26277;10226;
2022;SUVs ZUSAMMEN;778127;196836;
2022;GELÄNDEWAGEN ZUSAMMEN;298947;7366;
2022;SPORTWAGEN ZUSAMMEN;26497;4;
2022;MINI-VANS ZUSAMMEN;23013;1223;
2022;GROSSRAUM-VANS ZUSAMMEN;58733;1607;
2022;UTILITIES ZUSAMMEN;107738;5137;
2022;WOHNMOBILE ZUSAMMEN;65595;40;
2022;SONSTIGE;23335;7144;
2020;MINIS ZUSAMMEN;145027;31550;
2020;KLEINWAGEN ZUSAMMEN;440434;57974;
2020;KOMPAKTKLASSE ZUSAMMEN;597797;38142;
2020;MITTELKLASSE ZUSAMMEN;313012;16217;
2020;OBERE MITTELKLASSE ZUSAMMEN;96209;0;
2020;OBERKLASSE ZUSAMMEN;22893;3980;
2020;SUVs ZUSAMMEN;620827;38628;
2020;GELÄNDEWAGEN ZUSAMMEN;307016;109;
2020;SPORTWAGEN ZUSAMMEN;33542;0;
2020;MINI-VANS ZUSAMMEN;38131;2364;
2020;GROSSRAUM-VANS ZUSAMMEN;72089;928;
2020;UTILITIES ZUSAMMEN;142185;1425;
2020;WOHNMOBILE ZUSAMMEN;76225;0;
2020;SONSTIGE;12291;2846;
2021;MINIS ZUSAMMEN;168934;79832;
2021;KLEINWAGEN ZUSAMMEN;374722;74553;
2021;KOMPAKTKLASSE ZUSAMMEN;459977;37822;
2021;MITTELKLASSE ZUSAMMEN;269340;38073;
2021;OBERE MITTELKLASSE ZUSAMMEN;76897;0;
2021;OBERKLASSE ZUSAMMEN;24826;7223;
2021;SUVs ZUSAMMEN;667096;106535;
2021;GELÄNDEWAGEN ZUSAMMEN;280753;1071;
2021;SPORTWAGEN ZUSAMMEN;26654;4;
2021;MINI-VANS ZUSAMMEN;26944;2536;
2021;GROSSRAUM-VANS ZUSAMMEN;46294;1568;
2021;UTILITIES ZUSAMMEN;102864;2096;
2021;WOHNMOBILE ZUSAMMEN;79592;0;
2021;SONSTIGE;17239;4648;
2019;MINIS ZUSAMMEN;230495;6070;
2019;KLEINWAGEN ZUSAMMEN;485891;21418;
2019;KOMPAKTKLASSE ZUSAMMEN;737985;11176;
2019;MITTELKLASSE ZUSAMMEN;371300;9013;
2019;OBERE MITTELKLASSE ZUSAMMEN;131286;0;
2019;OBERKLASSE ZUSAMMEN;28378;1012;
2019;SUVs ZUSAMMEN;762490;9767;
2019;GELÄNDEWAGEN ZUSAMMEN;365121;0;
2019;SPORTWAGEN ZUSAMMEN;43712;0;
2019;MINI-VANS ZUSAMMEN;83887;1591;
2019;GROSSRAUM-VANS ZUSAMMEN;120727;11;
2019;UTILITIES ZUSAMMEN;177889;1179;
2019;WOHNMOBILE ZUSAMMEN;53920;1;
2019;SONSTIGE;14177;2043;
;;;;
