Tabelle: 43311-0001
Elektrizitätserzeugung, Nettowärmeerzeugung,;;;;;
Brennstoffeinsatz: Deutschland, Jahre, Energieträger;;;;;
Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;;;;;;;;;
Deutschland;;;;;;;;;
;;Elektrizitätserzeugung (brutto);;Elektrizitätserzeugung (netto);;Nettowärmeerzeugung;;Brennstoffeinsatz;
;;MWh;MWh;MWh;MWh;MWh;MWh;GJ;GJ
2002;Steinkohlen;121062371;e;111426568;e;-;;1081029686;e
;Steinkohlenkoks;-;;-;;-;;-;
;Steinkohlenbriketts;-;;-;;-;;-;
;Kohlenwertstoffe aus Steinkohle;-;;-;;-;;-;
;Sonstige Steinkohlen;-;;-;;-;;-;
;Rohbraunkohlen;152152294;e;140544280;e;-;;1482634187;e
;Hartbraunkohlen;2078121;e;1894333;e;-;;20309676;e
;Braunkohlenbriketts;48263;e;41935;e;-;;791950;e
;Braunkohlenkoks;-;;-;;-;;-;
;Wirbelschichtkohle;-;;-;;-;;-;
;Staub- und Trockenkohle;493976;e;441932;e;-;;3544385;e
;Sonstige Braunkohlen;119617;e;110305;e;-;;1081673;e
;Dieselkraftstoff;6749;e;6382;e;-;;64619;e
;Heizöl, leicht;564538;e;514135;e;-;;6331402;e
;Heizöl, schwer;664701;e;610148;e;-;;6829317;e
;Flüssiggas;169;e;159;e;-;;757;e
;Raffineriegas;-;;-;;-;;-;
;Petrolkoks;234518;e;212180;e;-;;3706920;e
;Sonstige Mineralölprodukte;682857;e;624212;e;-;;6207960;e
;Erdgas, Erdölgas;41728765;e;39982951;e;-;;277038016;e
;Grubengas;239484;e;215765;e;-;;2639608;e
;Kokereigas;50066;e;44985;e;-;;564303;e
;Hochofengas;3300300;e;3102993;e;-;;32578127;e
;Sonstige hergestellte Gase;265669;e;244012;e;-;;1340872;e
;Wasserstoff;-;;-;;-;;-;
;Laufwasser;18216292;e;17987250;e;-;;-;
;Speicherwasser;2108426;e;2060395;e;-;;-;
;Pumpspeicherwasser;4016297;e;3933612;e;-;;-;
;Pumpspeicher mit natürlichem Zufluss;-;;-;;-;;-;
;Pumpspeicher ohne natürlichen Zufluss;-;;-;;-;;-;
;Windkraft;163940;e;156819;e;-;;-;
;Photovoltaik;1877;e;1802;e;-;;-;
;Geothermie;-;;-;;-;;-;
;Wärmepumpen (Erd- und Umweltwärme);-;;-;;-;;-;
;Solarthermie;-;;-;;-;;-;
;Feste biogene Stoffe;219686;e;201648;e;-;;2601936;e
;Flüssige biogene Stoffe;-;;-;;-;;-;
;Biogas;32393;e;30548;e;-;;128005;e
;Biomethan (Bioerdgas);-;;-;;-;;-;
;Klärgas;11981;e;11837;e;-;;64567;e
;Deponiegas;115408;e;110551;e;-;;673035;e
;Sonstige erneuerbare Energien;265526;e;243469;e;-;;2571791;e
;Klärschlamm;57445;e;51438;e;-;;632912;e
;Abfall (Hausmüll, Industrie);3897805;e;2926819;e;-;;53723430;e
;Abfall (Industrie);-;;-;;-;;-;
;Abfall (Hausmüll, Siedlungsabfälle);-;;-;;-;;-;
;Kernenergie;164841973;e;156287022;e;-;;-;
;Wärme;-;;-;;-;;-;
;Strom (Elektrokessel);-;;-;;-;;-;
;Sonstige Energieträger;27282;e;23853;e;-;;205043;e
;Andere Speicher;-;;-;;-;;-;
;Insgesamt;517668789;e;484044338;e;-;;329025215;e
2003;Steinkohlen;132069578;e;121830623;e;36464388;e;1292021589;e
;Steinkohlenkoks;-;;-;;-;;-;
;Steinkohlenbriketts;-;;-;;-;;-;
;Kohlenwertstoffe aus Steinkohle;-;;-;;-;;-;
;Sonstige Steinkohlen;-;;-;;-;;-;
;Rohbraunkohlen;153603201;e;141725570;e;9660943;e;1492987291;e
;Hartbraunkohlen;597060;e;531787;e;17925;e;5638486;e
;Braunkohlenbriketts;21585;e;19617;e;9043;e;324415;e
;Braunkohlenkoks;13342;e;11747;e;4384;e;127940;e
;Wirbelschichtkohle;-;;-;;-;;-;
;Staub- und Trockenkohle;517742;e;467836;e;887898;e;7514428;e
;Sonstige Braunkohlen;452593;e;393064;e;330510;e;5421470;e
;Dieselkraftstoff;7232;e;7064;e;8;e;77154;e
;Heizöl, leicht;658408;e;602491;e;901378;e;9925936;e
;Heizöl, schwer;640899;e;588592;e;384839;e;7580865;e
;Flüssiggas;4;e;4;e;572;e;1951;e
;Raffineriegas;-;;-;;-;;-;
;Petrolkoks;717060;e;655202;e;193252;e;10107120;e
;Sonstige Mineralölprodukte;914299;e;837130;e;25549;e;8401007;e
;Erdgas, Erdölgas;46763519;e;44973718;e;46649290;e;483023332;e
;Grubengas;314029;e;286779;e;46738;e;2946854;e
;Kokereigas;54266;e;48905;e;-;;504992;e
;Hochofengas;3726431;e;3516542;e;408520;e;37750782;e
;Sonstige hergestellte Gase;275671;e;253348;e;743127;e;4465764;e
;Wasserstoff;-;;-;;-;;-;
;Laufwasser;14010918;e;13807008;e;-;;-;
;Speicherwasser;1484937;e;1456185;e;-;;-;
;Pumpspeicherwasser;5175917;e;5098549;e;-;;-;
;Pumpspeicher mit natürlichem Zufluss;-;;-;;-;;-;
;Pumpspeicher ohne natürlichen Zufluss;-;;-;;-;;-;
;Windkraft;173253;e;167254;e;-;;-;
;Photovoltaik;2916;e;2790;e;-;;-;
;Geothermie;-;;-;;-;;-;
;Wärmepumpen (Erd- und Umweltwärme);-;;-;;-;;-;
;Solarthermie;-;;-;;-;;-;
;Feste biogene Stoffe;276398;e;255228;e;644232;e;6261612;e
;Flüssige biogene Stoffe;-;;-;;-;;-;
;Biogas;17556;e;16499;e;21617;e;247420;e
;Biomethan (Bioerdgas);-;;-;;-;;-;
;Klärgas;18207;e;17599;e;18407;e;210621;e
;Deponiegas;126330;e;118179;e;63851;e;1142756;e
;Sonstige erneuerbare Energien;161041;e;146693;e;37788;e;1574056;e
;Klärschlamm;97957;e;87890;e;12420;e;721723;e
;Abfall (Hausmüll, Industrie);4321204;e;3182945;e;6515057;e;81266241;e
;Abfall (Industrie);-;;-;;-;;-;
;Abfall (Hausmüll, Siedlungsabfälle);-;;-;;-;;-;
;Kernenergie;165059921;e;156455840;e;22564;e;-;
;Wärme;-;;-;;-;;-;
;Strom (Elektrokessel);-;;-;;-;;-;
;Sonstige Energieträger;648209;e;586926;e;1119752;e;7484149;e
;Andere Speicher;-;;-;;-;;-;
;Insgesamt;532921681;e;498149606;e;105184052;e;3467729953;e
2004;Steinkohlen;126565314;e;116640379;e;38353220;e;1211381597;e
;Steinkohlenkoks;-;;-;;-;;-;
;Steinkohlenbriketts;-;;-;;-;;-;
;Kohlenwertstoffe aus Steinkohle;-;;-;;-;;-;
