OBJECTID,Bundesland,Berichtszeitpunkt,Bundesland,Pkw Insgesamt,ZS Pkw Insgesamt,Pkw Elektro,ZS Pkw Elektro,Pkw BEV,ZS Pkw BEV,Pkw Plug In Hybrid,ZS Pkw Plug In Hybrid,Pkw Brennstoffzelle,ZS Pkw Brennstoffzelle,Pkw Elektro Anteil,ZS Pkw Elektro Anteil,Pkw  BEV Anteil,ZS Pkw BEV Anteil,Pkw Plug In Hybrid Anteil,ZS Pkw Plug In Hybrid Anteil,Pkw Brennstoffzelle Anteil,ZS Pkw Brennstoffzelle Anteil,Shape__Area,Shape__Length
1,Schleswig-Holstein,2023.01,Schleswig-Holstein,1734488,,62867,,39033,,23723,,111,,3.6,,2.3,,1.4,,0,,15621267241.3076,1621205.42010707
2,Hamburg,2023.01,Hamburg,813644,,44774,,20585,,24091,,98,,5.5,,2.5,,3,,0,,738599057.427734,249728.103830133
3,Niedersachsen,2023.01,Niedersachsen,4925003,,179601,,106769,,72712,,120,,3.6,,2.2,,1.5,,0,,47657872200.6426,2405469.81427342
4,Bremen,2023.01,Bremen,299323,,10628,,5038,,5581,,9,,3.6,,1.7,,1.9,,0,,402383049.478516,201070.571559485
5,Nordrhein-Westfalen,2023.01,Nordrhein-Westfalen,10478040,,425153,,222053,,202648,,452,,4.1,,2.1,,1.9,,0,,34110882315.5313,1650455.67152478
6,Hessen,2023.01,Hessen,3853716,,183779,,96112,,87323,,344,,4.8,,2.5,,2.3,,0,,21114961485.0117,1365057.91437518
7,Rheinland-Pfalz,2023.01,Rheinland-Pfalz,2614161,,90471,,50585,,39846,,40,,3.5,,1.9,,1.5,,0,,19856528594.5771,1142079.07102838
8,Baden-Württemberg,2023.01,Baden-Württemberg,6867358,,308509,,165383,,142930,,196,,4.5,,2.4,,2.1,,0,,35748904352.2539,1683253.06346935
9,Bayern,2023.01,Bayern,8296429,,347534,,191652,,155575,,307,,4.2,,2.3,,1.9,,0,,70544886532.2607,2559300.99972611
10,Saarland,2023.01,Saarland,649960,,21871,,11624,,10230,,17,,3.4,,1.8,,1.6,,0,,2570970595.2373,366613.986697529
11,Berlin,2023.01,Berlin,1242504,,50828,,24934,,25744,,150,,4.1,,2,,2.1,,0,,891802928.993164,221788.15190469
12,Brandenburg,2023.01,Brandenburg,1472325,,37247,,19951,,17267,,29,,2.5,,1.4,,1.2,,0,,29654243842.0479,1565089.56207725
13,Mecklenburg-Vorpommern,2023.01,Mecklenburg-Vorpommern,881401,,16344,,8806,,7521,,17,,1.9,,1,,0.9,,0,,23073043748.3232,2426946.03893029
14,Sachsen,2023.01,Sachsen,2181512,,47814,,23800,,23959,,55,,2.2,,1.1,,1.1,,0,,18448898236.541,1289533.3801964
