Kreis_code;Landkreis;Anzahl_Ladepunkte_0425
8425;Landkreis Alb-Donau-Kreis;772
8426;Landkreis Biberach;280
8115;Landkreis Böblingen;1718
8435;Landkreis Bodenseekreis;575
8315;Landkreis Breisgau-Hochschwarzwald;665
8235;Landkreis Calw;367
8316;Landkreis Emmendingen;300
8236;Landkreis Enzkreis;340
8116;Landkreis Esslingen;1102
8237;Landkreis Freudenstadt;293
8117;Landkreis Göppingen;652
8135;Landkreis Heidenheim;208
8125;Landkreis Heilbronn;1040
8126;Landkreis Hohenlohekreis;445
8215;Landkreis Karlsruhe;936
8355;Landkreis Konstanz;506
8317;Landkreis Lörrach;475
8118;Landkreis Ludwigsburg;987
8128;Landkreis Main-Tauber-Kreis;380
8225;Landkreis Neckar-Odenwald-Kreis;284
8317;Landkreis Ortenaukreis;1127
8136;Landkreis Ostalbkreis;624
8216;Landkreis Rastatt;532
8436;Landkreis Ravensburg;932
8119;Landkreis Rems-Murr-Kreis;889
8415;Landkreis Reutlingen;544
8226;Landkreis Rhein-Neckar-Kreis;955
8325;Landkreis Rottweil;228
8127;Landkreis Schwäbisch Hall;470
8326;Landkreis Schwarzwald-Baar-Kreis;440
8437;Landkreis Sigmaringen;181
8416;Landkreis Tübingen;573
8327;Landkreis Tuttlingen;292
8337;Landkreis Waldshut;405
8417;Landkreis Zollernalbkreis;278
8211;Stadtkreis Baden-Baden;150
8311;Stadtkreis Freiburg im Breisgau;561
8221;Stadtkreis Heidelberg;472
8121;Stadtkreis Heilbronn;821
8212;Stadtkreis Karlsruhe;491
8222;Stadtkreis Mannheim;563
8231;Stadtkreis Pforzheim;272
8111;Stadtkreis Stuttgart;3572
8421;Stadtkreis Ulm;531
9361;Kreisfreie Stadt Amberg;56
9561;Kreisfreie Stadt Ansbach;83
9661;Kreisfreie Stadt Aschaffenburg;113
9761;Kreisfreie Stadt Augsburg;480
9461;Kreisfreie Stadt Bamberg;146
9462;Kreisfreie Stadt Bayreuth;147
9463;Kreisfreie Stadt Coburg;96
9562;Kreisfreie Stadt Erlangen;189
9563;Kreisfreie Stadt Fürth;444
9464;Kreisfreie Stadt Hof;49
9161;Kreisfreie Stadt Ingolstadt;1495
9762;Kreisfreie Stadt Kaufbeuren;168
9763;Kreisfreie Stadt Kempten (Allgäu);236
9261;Kreisfreie Stadt Landshut;174
9764;Kreisfreie Stadt Memmingen;168
9162;Kreisfreie Stadt München;3210
9564;Kreisfreie Stadt Nürnberg;1232
9262;Kreisfreie Stadt Passau;233
9362;Kreisfreie Stadt Regensburg;1006
9163;Kreisfreie Stadt Rosenheim;107
9565;Kreisfreie Stadt Schwabach;31
9663;Kreisfreie Stadt Schweinfurt;181
9263;Kreisfreie Stadt Straubing;130
9363;Kreisfreie Stadt Weiden i.d. OPf.;98
9664;Kreisfreie Stadt Würzburg;434
9771;Landkreis Aichach-Friedberg;215
9171;Landkreis Altötting;318
9371;Landkreis Amberg-Sulzbach;184
9571;Landkreis Ansbach;525
9671;Landkreis Aschaffenburg;352
9772;Landkreis Augsburg;450
9672;Landkreis Bad Kissingen;173
9173;Landkreis Bad Tölz-Wolfratshausen;283
9471;Landkreis Bamberg;258
9472;Landkreis Bayreuth;144
9172;Landkreis Berchtesgadener Land;343
9372;Landkreis Cham;244
9473;Landkreis Coburg;131
9174;Landkreis Dachau;245
9271;Landkreis Deggendorf;322
9773;Landkreis Dillingen a.d. Donau;131
9272;Landkreis Dingolfing-Landau;567
9779;Landkreis Donau-Ries;303
9175;Landkreis Ebersberg;311
9176;Landkreis Eichstätt;318
9177;Landkreis Erding;338
9572;Landkreis Erlangen-Höchstadt;272
9474;Landkreis Forchheim;220
9178;Landkreis Freising;529
9274;Landkreis Freyung-Grafenau;278
9179;Landkreis Fürstenfeldbruck;369
9573;Landkreis Fürth;202
9180;Landkreis Garmisch-Partenkirchen;294
9774;Landkreis Günzburg;314
9674;Landkreis Haßberge;140
9475;Landkreis Hof;188
9273;Landkreis Kelheim;283
9675;Landkreis Kitzingen;354
9476;Landkreis Kronach;106
9477;Landkreis Kulmbach;127
9181;Landkreis Landsberg am Lech;293
9274;Landkreis Landshut;376
9478;Landkreis Lichtenfels;88
9776;Landkreis Lindau (Bodensee);241
9677;Landkreis Main-Spessart;256
9182;Landkreis Miesbach;334
9676;Landkreis Miltenberg;152
9183;Landkreis Mühldorf a. Inn;248
9184;Landkreis München;1215
9185;Landkreis Neuburg-Schrobenhausen;212
9373;Landkreis Neumarkt i.d. OPf.;312
9575;Landkreis Neustadt a.d. Aisch-Bad Windsheim;239
9374;Landkreis Neustadt a.d. Waldnaab;178
9775;Landkreis Neu-Ulm;418
9574;Landkreis Nürnberger Land;349
9778;Landkreis Oberallgäu;571
