,Jahr,Segment,PKW_Gesamt,BEV,PKW_ohne_BEV,Anteil_Segment_BEV,Anteil_Segment_PKW,Penetration
5,2024,Oberklasse,289983,36462,253521,2.2076199275509296,0.531629625636039,12.573840535479667
6,2024,SUVs,6557662,625572,5932090,37.87573949091904,12.439501208733363,9.539558458487187
0,2024,Minis,3303627,244602,3059025,14.80961684819298,6.414728229855847,7.404044100620317
1,2024,Kleinwagen,8594166,238476,8355690,14.438713450788093,17.521753017031312,2.7748591311827115
3,2024,Mittelklasse,5618874,131526,5487348,7.963343167984849,11.50688409628657,2.340789275573718
4,2024,Obere Mittelklasse,1769335,38071,1731264,2.3050380742085306,3.6304338977723796,2.1517123665105817
2,2024,Kompaktklasse,11263672,231966,11031706,14.044560477052245,23.133317283013422,2.05941721314328
7,2024,Geländewagen,3255701,56097,3199604,3.3964361547864765,6.7095202239797604,1.723039062862345
11,2024,Utilities,2152554,25871,2126683,1.5663796595269075,4.459621440182582,1.201874610346593
13,2024,Sonstige,1152302,8508,1143794,0.5151234255828893,2.3985183713568015,0.7383481066595389
9,2024,Mini-Vans,1698695,8283,1690412,0.5015006269514659,3.5447678840437993,0.48760960619769883
10,2024,Großraum-Vans,1781227,6003,1775224,0.3634562674863757,3.7226173395502213,0.33701487794649415
12,2024,Wohnmobile,981010,148,980862,0.00896077421089182,2.056852481098672,0.01508649249243127
8,2024,Sportwagen,920358,58,920300,0.0035116547583224703,1.929854901459235,0.006301895566725123
