Hersteller;Modell;Antrieb;Leistung (kW);Grundpreis ;10k;15k;20k;30k;Strom_cent_kWh;Segment
Audi;A3 allstreet 40 TFSI e S tronic;S/E;150;46000;86,7;64,7;53,9;43,5;35;Kompaktklasse
Audi;A3 allstreet 35 TFSI;S;110;35400;77,4;58,6;49,6;40,6;35;Kompaktklasse
Audi;A3 allstreet 35 TDI S tronic;D;110;41000;87,1;64;53,7;42,8;35;Kompaktklasse
Audi;A3 Sportback 40 TFSI e S tronic;S/E;150;44200;84,3;62,8;52,3;42,2;35;Kompaktklasse
Audi;A3 Sportback 30 TFSI;S;85;31300;72,5;54,7;46,2;37,7;35;Kompaktklasse
Audi;A3 Sportback 30 TDI;D;85;34400;79,4;58,2;48,7;38,7;35;Kompaktklasse
Audi;A6 Sportback e-tron;E;240;62800;122,9;89,1;73,2;56,4;35;Obere Mittelklasse
Audi;S5 Limousine 3.0 V6 TFSI MHEV plus S tronic;S;270;78500;131,8;99,7;85,4;70,1;35;Mittelklasse
Audi;A5 Limousine 2.0 TDI MHEV plus S tronic;D;150;54200;108,8;78,9;64,7;50,8;35;Mittelklasse
Audi;A6 Sportback e-tron performance;E;280;75600;139,6;101,9;84,1;65,3;35;Obere Mittelklasse
Audi;A8 60 TFSI e quattro tiptronic;S/E;340;120950;230,5;163,7;132,8;100,5;35;Oberklasse
Audi;A8 55 TFSI quattro tiptronic;S;250;108850;221,2;157,8;128,3;97,5;35;Oberklasse
Audi;A8 50 TDI quattro tiptronic;D;210;106600;222;156,2;125,2;93,4;35;Oberklasse
Audi;Q4 40 e-tron;E;150;46150;94,4;69;56,9;44,1;35;Kompakt-SUV
Audi;Q5 2.0 TFSI MHEV plus S tronic;S;150;52300;111,4;82,6;69,6;55,6;35;Mittelklasse-SUV
Audi;Q5 2.0 TDI MHEV plus quattro S tronic;D;150;57100;115,7;85,4;71,6;56,8;35;Mittelklasse-SUV
Audi;Q4 45 e-tron;E;210;52950;106,5;78,4;65;50,9;35;Kompakt-SUV
Audi;Q4 Sportback 40 e-tron;E;150;48150;95,5;69,9;57,7;44,7;35;Kompakt-SUV
Audi;Q4 Sportback 45 e-tron;E;210;54950;107,5;79,2;65,7;51,5;35;Kompakt-SUV
