Bundesland,schluessel,PKW_Gesamt,Anzahl_BEV,Anteil_BEV,Einwohner,Flaeche,BEV_pro_1000_Einwohner,BEV_pro_1000_qkm
Hamburg,02,810635,35572,4.39,1892122,755,18.80005623316044,47115.23178807947
Baden-Württemberg,08,6970720,268123,3.85,11280257,35748,23.76922795287377,7500.3636567080675
Bayern,09,8413688,317954,3.78,13369393,70542,23.782231549330625,4507.300615236313
Hessen,06,3907435,145946,3.74,6391360,21116,22.834889600961297,6911.630990717939
Niedersachsen,03,4982509,176774,3.55,8140242,47710,21.71606200405344,3705.1771117166213
Schleswig-Holstein,01,1754018,60539,3.45,2953270,15804,20.49897232559163,3830.6125031637557
Nordrhein-Westfalen,05,10630608,366309,3.45,18139116,34113,20.19442402816102,10738.10570750154
Berlin,11,1232689,41988,3.41,3755251,891,11.181143417577147,47124.579124579126
Rheinland-Pfalz,07,2647477,83379,3.15,4159150,19858,20.0471250135244,4198.761204552321
Bremen,04,300985,8337,2.77,684864,420,12.173219792542753,19850.0
Saarland,10,653594,17071,2.61,992666,2572,17.197123705254334,6637.2472783825815
Brandenburg,12,1492188,33278,2.23,2573135,29654,12.932862053487284,1122.209482700479
Thüringen,16,1192603,21921,1.84,2126846,16202,10.306811118435467,1352.981113442785
Sachsen,14,2190467,38571,1.76,4086152,18450,9.439443270832802,2090.569105691057
Mecklenburg-Vorpommern,13,888254,14620,1.65,1628378,23295,8.978259347645327,627.6024898046792
Sachsen-Anhalt,15,1223609,19343,1.58,2186643,20467,8.84597988789208,945.0823276493868
