Segment;Modell;WLTP_Verbrauch_(kWh/100km)
MINI & KLEINWAGEN;Dacia Spring Electric;13,9
MINI & KLEINWAGEN;Hyundai Ioniq Elektro Style;13,8
MINI & KLEINWAGEN;Hyundai Kona Elektro;14,7
MINI & KLEINWAGEN;Fiat 500e Cabrio Icon;14,7
MINI & KLEINWAGEN;Mini Cooper SE;15,8
MINI & KLEINWAGEN;Opel Corsa-e Elegance;15,6
MINI & KLEINWAGEN;Kia e-Soul Spirit;15,7
MINI & KLEINWAGEN;Smart Forfour EQ passion;15,9
MINI & KLEINWAGEN;Renault Twingo Electric;16
MINI & KLEINWAGEN;BMW i3;15,3
MINI & KLEINWAGEN;Citroën ë-C3;17,1
MINI & KLEINWAGEN;Renault Zoe Intens (41 kWh);17,2
MINI & KLEINWAGEN;Peugeot e-208 GT;17,6
MINI & KLEINWAGEN;Honda e Advance;17,8
MINI & KLEINWAGEN;Renault Zoe R135;17,7
KOMPAKTKLASSE;Citroen e-C4 Shine;15,3
KOMPAKTKLASSE;Cupra Born;15,5
KOMPAKTKLASSE;VW ID.3;16,1
KOMPAKTKLASSE;Polestar 2 Long Range Single Motor;17,1
KOMPAKTKLASSE;Opel Mokka-e;17,4
KOMPAKTKLASSE;DS3 Crossback E-Tense;17,6
KOMPAKTKLASSE;Peugeot e-2008 GT;17,8
KOMPAKTKLASSE;Kia e-Niro Spirit;15,9
KOMPAKTKLASSE;MG ZS EV Luxury;18,6
KOMPAKTKLASSE;Mazda MX-30;19
MITTELKLASSE;Tesla Model 3 Standard Range Plus;14,3
MITTELKLASSE;Hyundai Ioniq 5 (63 kWh Batterie);15,6
MITTELKLASSE;Tesla Model 3 Long Range AWD;16
MITTELKLASSE;Ford Mustang Mach-E;16,5
MITTELKLASSE;Kia EV6 RWD;16,5
MITTELKLASSE;Skoda Enyaq iV 80;16,7
MITTELKLASSE;Hyundai Ioniq 5;16,8
MITTELKLASSE;BMW i4 eDrive40;16,9
MITTELKLASSE;Renault Mégane E-tech;17,1
MITTELKLASSE;MG ZS Long Range;17,8
MITTELKLASSE;Mercedes EQA 250;17,9
MITTELKLASSE;Kia EV6 4WD;18
MITTELKLASSE;Audi e-tron Q4 40;18,1
MITTELKLASSE;VW ID.5 GTX;18,7
MITTELKLASSE;BMW iX3;18,9
MITTELKLASSE;VW ID.4 GTX;18,9
MITTELKLASSE;BMW i4 M50;19
MITTELKLASSE;Audi e-tron Q4 50 quattro;19,3
MITTELKLASSE;Xpeng P7;19,4
MITTELKLASSE;BMW iX xDrive40;20,8
MITTELKLASSE;Maxus Euniq6;21
MITTELKLASSE;Volvo C40 Recharge;21,1
MITTELKLASSE;NIO ES8;21,5
MITTELKLASSE;BYD Tang;21,6
MITTELKLASSE;Porsche Taycan 4 Cross Turismo;25
OBERE MITTELKLASSE & OBERKLASSE;Mercedes EQS 450+;16,8
OBERE MITTELKLASSE & OBERKLASSE;Audi e-tron GT;20,5
OBERE MITTELKLASSE & OBERKLASSE;Porsche Taycan 4S;26,2
SUVs & GELÄNDEWAGEN;Aiways U5 Premium;17
SUVs & GELÄNDEWAGEN;VW ID.4 Pro;17,7
SUVs & GELÄNDEWAGEN;VW ID.4 GTX;18,3
SUVs & GELÄNDEWAGEN;Nissan Leaf e+ Tekna;18,5
SUVs & GELÄNDEWAGEN;Polestar 2 Long Range Dual Motor;19,3
SUVs & GELÄNDEWAGEN;Tesla Model Y;16,9
SUVs & GELÄNDEWAGEN;Hongqi EHS-9;22
SUVs & GELÄNDEWAGEN;BMW iX xDrive50;21,4
SUVs & GELÄNDEWAGEN;Jaguar i-Pace;22
SUVs & GELÄNDEWAGEN;Mercedes EQC 400;22,6
SUVs & GELÄNDEWAGEN;Audi e-tron 55;23
SUVs & GELÄNDEWAGEN;Audi e-tron Sportback;23,7
SUVs & GELÄNDEWAGEN;Volvo XC40 Recharge;23,8
SUVs & GELÄNDEWAGEN;Tesla Model X;20,8
UTILITIES, MINI-VANS & GROSSRAUM_VANS;Opel Combo-e;19,3
UTILITIES, MINI-VANS & GROSSRAUM_VANS;Nissan e-NV200;25,9
UTILITIES, MINI-VANS & GROSSRAUM_VANS;Citroen e-Spacetourer;26,6
