Segment,Modell,Verbrauch_(kWh/100km),Testart
MINI & KLEINWAGEN,Renault Twingo Z.E.,12.83,Unabhängiger Verbauchstest
MINI & KLEINWAGEN,Smart EQ fortwo,12.83,Unabhängiger Verbauchstest
MINI & KLEINWAGEN,Hyundai Ioniq Elektro Style,16.3,Unabhängiger Verbauchstest
MINI & KLEINWAGEN,Hyundai Kona Elektro (64 kWh),16.7,Unabhängiger Verbauchstest
MINI & KLEINWAGEN,Fiat 500e Cabrio Icon,17.4,Unabhängiger Verbauchstest
MINI & KLEINWAGEN,Mini Cooper SE,17.6,Unabhängiger Verbauchstest
MINI & KLEINWAGEN,Renault Twingo Electric,17.6,Unabhängiger Verbauchstest
MINI & KLEINWAGEN,BMW i3 (120 Ah),17.9,Unabhängiger Verbauchstest
MINI & KLEINWAGEN,Dacia Spring Electric,17.9,Unabhängiger Verbauchstest
MINI & KLEINWAGEN,Smart Forfour EQ passion,18.4,Unabhängiger Verbauchstest
MINI & KLEINWAGEN,Peugeot e-208 GT,18.7,Unabhängiger Verbauchstest
MINI & KLEINWAGEN,Kia e-Soul (64 kWh) Spirit,18.8,Unabhängiger Verbauchstest
MINI & KLEINWAGEN,Opel Corsa-e Elegance,18.8,Unabhängiger Verbauchstest
MINI & KLEINWAGEN,Renault Zoe R135 Z.E. 50 Intens,19.0,Unabhängiger Verbauchstest
MINI & KLEINWAGEN,Renault Zoe Intens (41 kWh),20.3,Unabhängiger Verbauchstest
MINI & KLEINWAGEN,Honda e Advance,20.5,Unabhängiger Verbauchstest
MINI & KLEINWAGEN,Citroën ë-C3 (gemittelt inkl. Ladeverluste),18.3,Unabhängiger Verbauchstest
MINI & KLEINWAGEN,Citroën ë-C3 (Autobahn),23.6,Unabhängiger Verbauchstest
KOMPAKTKLASSE,Opel Astra Electric (Misch),14.2,Unabhängiger Verbauchstest
KOMPAKTKLASSE,Cupra Born,14.8,Unabhängiger Verbauchstest
KOMPAKTKLASSE,VW ID.3 Pro Performance 1st Max,19.3,Unabhängiger Verbauchstest
KOMPAKTKLASSE,Citroen e-C4 Shine,19.3,Unabhängiger Verbauchstest
KOMPAKTKLASSE,Peugeot e-2008 GT,20.2,Unabhängiger Verbauchstest
KOMPAKTKLASSE,Opel Mokka-e Ultimate,20.3,Unabhängiger Verbauchstest
KOMPAKTKLASSE,DS 3 Crossback E-Tense So Chic,20.5,Unabhängiger Verbauchstest
