Datum von;Datum bis;Biomasse [MW] Berechnete Auflösungen;Wasserkraft [MW] Berechnete Auflösungen;Wind Offshore [MW] Berechnete Auflösungen;Wind Onshore [MW] Berechnete Auflösungen;Photovoltaik [MW] Berechnete Auflösungen;Sonstige Erneuerbare [MW] Berechnete Auflösungen;Kernenergie [MW] Berechnete Auflösungen;Braunkohle [MW] Berechnete Auflösungen;Steinkohle [MW] Berechnete Auflösungen;Erdgas [MW] Berechnete Auflösungen;Pumpspeicher [MW] Berechnete Auflösungen;Sonstige Konventionelle [MW] Berechnete Auflösungen
21.06.2025 00:00;21.06.2025 01:00;8.766,00;5.350,00;9.215,00;63.192,00;86.408,00;446,00;-;15.176,00;15.951,00;36.614,00;9.384,00;12.971,00
21.06.2025 01:00;21.06.2025 02:00;8.766,00;5.350,00;9.215,00;63.192,00;86.408,00;446,00;-;15.176,00;15.951,00;36.614,00;9.384,00;12.971,00
21.06.2025 02:00;21.06.2025 03:00;8.766,00;5.350,00;9.215,00;63.192,00;86.408,00;446,00;-;15.176,00;15.951,00;36.614,00;9.384,00;12.971,00
21.06.2025 03:00;21.06.2025 04:00;8.766,00;5.350,00;9.215,00;63.192,00;86.408,00;446,00;-;15.176,00;15.951,00;36.614,00;9.384,00;12.971,00
21.06.2025 04:00;21.06.2025 05:00;8.766,00;5.350,00;9.215,00;63.192,00;86.408,00;446,00;-;15.176,00;15.951,00;36.614,00;9.384,00;12.971,00
21.06.2025 05:00;21.06.2025 06:00;8.766,00;5.350,00;9.215,00;63.192,00;86.408,00;446,00;-;15.176,00;15.951,00;36.614,00;9.384,00;12.971,00
21.06.2025 06:00;21.06.2025 07:00;8.766,00;5.350,00;9.215,00;63.192,00;86.408,00;446,00;-;15.176,00;15.951,00;36.614,00;9.384,00;12.971,00
21.06.2025 07:00;21.06.2025 08:00;8.766,00;5.350,00;9.215,00;63.192,00;86.408,00;446,00;-;15.176,00;15.951,00;36.614,00;9.384,00;12.971,00
21.06.2025 08:00;21.06.2025 09:00;8.766,00;5.350,00;9.215,00;63.192,00;86.408,00;446,00;-;15.176,00;15.951,00;36.614,00;9.384,00;12.971,00
21.06.2025 09:00;21.06.2025 10:00;8.766,00;5.350,00;9.215,00;63.192,00;86.408,00;446,00;-;15.176,00;15.951,00;36.614,00;9.384,00;12.971,00
21.06.2025 10:00;21.06.2025 11:00;8.766,00;5.350,00;9.215,00;63.192,00;86.408,00;446,00;-;15.176,00;15.951,00;36.614,00;9.384,00;12.971,00
21.06.2025 11:00;21.06.2025 12:00;8.766,00;5.350,00;9.215,00;63.192,00;86.408,00;446,00;-;15.176,00;15.951,00;36.614,00;9.384,00;12.971,00
21.06.2025 12:00;21.06.2025 13:00;8.766,00;5.350,00;9.215,00;63.192,00;86.408,00;446,00;-;15.176,00;15.951,00;36.614,00;9.384,00;12.971,00
21.06.2025 13:00;21.06.2025 14:00;8.766,00;5.350,00;9.215,00;63.192,00;86.408,00;446,00;-;15.176,00;15.951,00;36.614,00;9.384,00;12.971,00
21.06.2025 14:00;21.06.2025 15:00;8.766,00;5.350,00;9.215,00;63.192,00;86.408,00;446,00;-;15.176,00;15.951,00;36.614,00;9.384,00;12.971,00
21.06.2025 15:00;21.06.2025 16:00;8.766,00;5.350,00;9.215,00;63.192,00;86.408,00;446,00;-;15.176,00;15.951,00;36.614,00;9.384,00;12.971,00
21.06.2025 16:00;21.06.2025 17:00;8.766,00;5.350,00;9.215,00;63.192,00;86.408,00;446,00;-;15.176,00;15.951,00;36.614,00;9.384,00;12.971,00
21.06.2025 17:00;21.06.2025 18:00;8.766,00;5.350,00;9.215,00;63.192,00;86.408,00;446,00;-;15.176,00;15.951,00;36.614,00;9.384,00;12.971,00
21.06.2025 18:00;21.06.2025 19:00;8.766,00;5.350,00;9.215,00;63.192,00;86.408,00;446,00;-;15.176,00;15.951,00;36.614,00;9.384,00;12.971,00
21.06.2025 19:00;21.06.2025 20:00;8.766,00;5.350,00;9.215,00;63.192,00;86.408,00;446,00;-;15.176,00;15.951,00;36.614,00;9.384,00;12.971,00
21.06.2025 20:00;21.06.2025 21:00;8.766,00;5.350,00;9.215,00;63.192,00;86.408,00;446,00;-;15.176,00;15.951,00;36.614,00;9.384,00;12.971,00
21.06.2025 21:00;21.06.2025 22:00;8.766,00;5.350,00;9.215,00;63.192,00;86.408,00;446,00;-;15.176,00;15.951,00;36.614,00;9.384,00;12.971,00
21.06.2025 22:00;21.06.2025 23:00;8.766,00;5.350,00;9.215,00;63.192,00;86.408,00;446,00;-;15.176,00;15.951,00;36.614,00;9.384,00;12.971,00
21.06.2025 23:00;22.06.2025 00:00;8.766,00;5.350,00;9.215,00;63.192,00;86.408,00;446,00;-;15.176,00;15.951,00;36.614,00;9.384,00;12.971,00
22.06.2025 00:00;22.06.2025 01:00;8.766,00;5.350,00;9.215,00;63.192,00;86.408,00;446,00;-;15.176,00;15.951,00;36.614,00;9.384,00;12.971,00
22.06.2025 01:00;22.06.2025 02:00;8.766,00;5.350,00;9.215,00;63.192,00;86.408,00;446,00;-;15.176,00;15.951,00;36.614,00;9.384,00;12.971,00
22.06.2025 02:00;22.06.2025 03:00;8.766,00;5.350,00;9.215,00;63.192,00;86.408,00;446,00;-;15.176,00;15.951,00;36.614,00;9.384,00;12.971,00
22.06.2025 03:00;22.06.2025 04:00;8.766,00;5.350,00;9.215,00;63.192,00;86.408,00;446,00;-;15.176,00;15.951,00;36.614,00;9.384,00;12.971,00
22.06.2025 04:00;22.06.2025 05:00;8.766,00;5.350,00;9.215,00;63.192,00;86.408,00;446,00;-;15.176,00;15.951,00;36.614,00;9.384,00;12.971,00
22.06.2025 05:00;22.06.2025 06:00;8.766,00;5.350,00;9.215,00;63.192,00;86.408,00;446,00;-;15.176,00;15.951,00;36.614,00;9.384,00;12.971,00
22.06.2025 06:00;22.06.2025 07:00;8.766,00;5.350,00;9.215,00;63.192,00;86.408,00;446,00;-;15.176,00;15.951,00;36.614,00;9.384,00;12.971,00
22.06.2025 07:00;22.06.2025 08:00;8.766,00;5.350,00;9.215,00;63.192,00;86.408,00;446,00;-;15.176,00;15.951,00;36.614,00;9.384,00;12.971,00
22.06.2025 08:00;22.06.2025 09:00;8.766,00;5.350,00;9.215,00;63.192,00;86.408,00;446,00;-;15.176,00;15.951,00;36.614,00;9.384,00;12.971,00
22.06.2025 09:00;22.06.2025 10:00;8.766,00;5.350,00;9.215,00;63.192,00;86.408,00;446,00;-;15.176,00;15.951,00;36.614,00;9.384,00;12.971,00
22.06.2025 10:00;22.06.2025 11:00;8.766,00;5.350,00;9.215,00;63.192,00;86.408,00;446,00;-;15.176,00;15.951,00;36.614,00;9.384,00;12.971,00
22.06.2025 11:00;22.06.2025 12:00;8.766,00;5.350,00;9.215,00;63.192,00;86.408,00;446,00;-;15.176,00;15.951,00;36.614,00;9.384,00;12.971,00
22.06.2025 12:00;22.06.2025 13:00;8.766,00;5.350,00;9.215,00;63.192,00;86.408,00;446,00;-;15.176,00;15.951,00;36.614,00;9.384,00;12.971,00
22.06.2025 13:00;22.06.2025 14:00;8.766,00;5.350,00;9.215,00;63.192,00;86.408,00;446,00;-;15.176,00;15.951,00;36.614,00;9.384,00;12.971,00
22.06.2025 14:00;22.06.2025 15:00;8.766,00;5.350,00;9.215,00;63.192,00;86.408,00;446,00;-;15.176,00;15.951,00;36.614,00;9.384,00;12.971,00
22.06.2025 15:00;22.06.2025 16:00;8.766,00;5.350,00;9.215,00;63.192,00;86.408,00;446,00;-;15.176,00;15.951,00;36.614,00;9.384,00;12.971,00
22.06.2025 16:00;22.06.2025 17:00;8.766,00;5.350,00;9.215,00;63.192,00;86.408,00;446,00;-;15.176,00;15.951,00;36.614,00;9.384,00;12.971,00
22.06.2025 17:00;22.06.2025 18:00;8.766,00;5.350,00;9.215,00;63.192,00;86.408,00;446,00;-;15.176,00;15.951,00;36.614,00;9.384,00;12.971,00
22.06.2025 18:00;22.06.2025 19:00;8.766,00;5.350,00;9.215,00;63.192,00;86.408,00;446,00;-;15.176,00;15.951,00;36.614,00;9.384,00;12.971,00
22.06.2025 19:00;22.06.2025 20:00;8.766,00;5.350,00;9.215,00;63.192,00;86.408,00;446,00;-;15.176,00;15.951,00;36.614,00;9.384,00;12.971,00
22.06.2025 20:00;22.06.2025 21:00;8.766,00;5.350,00;9.215,00;63.192,00;86.408,00;446,00;-;15.176,00;15.951,00;36.614,00;9.384,00;12.971,00
22.06.2025 21:00;22.06.2025 22:00;8.766,00;5.350,00;9.215,00;63.192,00;86.408,00;446,00;-;15.176,00;15.951,00;36.614,00;9.384,00;12.971,00
22.06.2025 22:00;22.06.2025 23:00;8.766,00;5.350,00;9.215,00;63.192,00;86.408,00;446,00;-;15.176,00;15.951,00;36.614,00;9.384,00;12.971,00
22.06.2025 23:00;23.06.2025 00:00;8.766,00;5.350,00;9.215,00;63.192,00;86.408,00;446,00;-;15.176,00;15.951,00;36.614,00;9.384,00;12.971,00
23.06.2025 00:00;23.06.2025 01:00;8.766,00;5.350,00;9.215,00;63.192,00;86.408,00;446,00;-;15.176,00;15.951,00;36.614,00;9.384,00;12.971,00
23.06.2025 01:00;23.06.2025 02:00;8.766,00;5.350,00;9.215,00;63.192,00;86.408,00;446,00;-;15.176,00;15.951,00;36.614,00;9.384,00;12.971,00
23.06.2025 02:00;23.06.2025 03:00;8.766,00;5.350,00;9.215,00;63.192,00;86.408,00;446,00;-;15.176,00;15.951,00;36.614,00;9.384,00;12.971,00
23.06.2025 03:00;23.06.2025 04:00;8.766,00;5.350,00;9.215,00;63.192,00;86.408,00;446,00;-;15.176,00;15.951,00;36.614,00;9.384,00;12.971,00
23.06.2025 04:00;23.06.2025 05:00;8.766,00;5.350,00;9.215,00;63.192,00;86.408,00;446,00;-;15.176,00;15.951,00;36.614,00;9.384,00;12.971,00
23.06.2025 05:00;23.06.2025 06:00;8.766,00;5.350,00;9.215,00;63.192,00;86.408,00;446,00;-;15.176,00;15.951,00;36.614,00;9.384,00;12.971,00
23.06.2025 06:00;23.06.2025 07:00;8.766,00;5.350,00;9.215,00;63.192,00;86.408,00;446,00;-;15.176,00;15.951,00;36.614,00;9.384,00;12.971,00
23.06.2025 07:00;23.06.2025 08:00;8.766,00;5.350,00;9.215,00;63.192,00;86.408,00;446,00;-;15.176,00;15.951,00;36.614,00;9.384,00;12.971,00
23.06.2025 08:00;23.06.2025 09:00;8.766,00;5.350,00;9.215,00;63.192,00;86.408,00;446,00;-;15.176,00;15.951,00;36.614,00;9.384,00;12.971,00
23.06.2025 09:00;23.06.2025 10:00;8.766,00;5.350,00;9.215,00;63.192,00;86.408,00;446,00;-;15.176,00;15.951,00;36.614,00;9.384,00;12.971,00
23.06.2025 10:00;23.06.2025 11:00;8.766,00;5.350,00;9.215,00;63.192,00;86.408,00;446,00;-;15.176,00;15.951,00;36.614,00;9.384,00;12.971,00
23.06.2025 11:00;23.06.2025 12:00;8.766,00;5.350,00;9.215,00;63.192,00;86.408,00;446,00;-;15.176,00;15.951,00;36.614,00;9.384,00;12.971,00
23.06.2025 12:00;23.06.2025 13:00;8.766,00;5.350,00;9.215,00;63.192,00;86.408,00;446,00;-;15.176,00;15.951,00;36.614,00;9.384,00;12.971,00
23.06.2025 13:00;23.06.2025 14:00;8.766,00;5.350,00;9.215,00;63.192,00;86.408,00;446,00;-;15.176,00;15.951,00;36.614,00;9.384,00;12.971,00
23.06.2025 14:00;23.06.2025 15:00;8.766,00;5.350,00;9.215,00;63.192,00;86.408,00;446,00;-;15.176,00;15.951,00;36.614,00;9.384,00;12.971,00
23.06.2025 15:00;23.06.2025 16:00;8.766,00;5.350,00;9.215,00;63.192,00;86.408,00;446,00;-;15.176,00;15.951,00;36.614,00;9.384,00;12.971,00
23.06.2025 16:00;23.06.2025 17:00;8.766,00;5.350,00;9.215,00;63.192,00;86.408,00;446,00;-;15.176,00;15.951,00;36.614,00;9.384,00;12.971,00
23.06.2025 17:00;23.06.2025 18:00;8.766,00;5.350,00;9.215,00;63.192,00;86.408,00;446,00;-;15.176,00;15.951,00;36.614,00;9.384,00;12.971,00
23.06.2025 18:00;23.06.2025 19:00;8.766,00;5.350,00;9.215,00;63.192,00;86.408,00;446,00;-;15.176,00;15.951,00;36.614,00;9.384,00;12.971,00
23.06.2025 19:00;23.06.2025 20:00;8.766,00;5.350,00;9.215,00;63.192,00;86.408,00;446,00;-;15.176,00;15.951,00;36.614,00;9.384,00;12.971,00
