Datum von;Datum bis;Biomasse [MWh] Berechnete Auflösungen;Wasserkraft [MWh] Berechnete Auflösungen;Wind Offshore [MWh] Berechnete Auflösungen;Wind Onshore [MWh] Berechnete Auflösungen;Photovoltaik [MWh] Berechnete Auflösungen;Sonstige Erneuerbare [MWh] Berechnete Auflösungen;Kernenergie [MWh] Berechnete Auflösungen;Braunkohle [MWh] Berechnete Auflösungen;Steinkohle [MWh] Berechnete Auflösungen;Erdgas [MWh] Berechnete Auflösungen;Pumpspeicher [MWh] Berechnete Auflösungen;Sonstige Konventionelle [MWh] Berechnete Auflösungen
21.06.2025 00:00;21.06.2025 01:00;3.899,75;2.124,25;312,75;5.444,50;0,00;93,00;-;6.404,50;5.311,25;4.944,50;2.637,25;1.461,50
21.06.2025 01:00;21.06.2025 02:00;3.926,75;2.034,00;347,25;5.489,50;0,00;106,00;-;6.397,00;5.198,25;4.322,75;1.464,75;1.442,75
21.06.2025 02:00;21.06.2025 03:00;3.939,00;2.336,00;382,75;5.232,75;0,00;106,00;-;6.411,00;4.876,00;3.888,75;1.359,00;1.422,00
21.06.2025 03:00;21.06.2025 04:00;3.937,50;1.963,25;405,50;5.019,75;0,00;106,00;-;6.419,25;4.391,00;3.280,50;370,50;1.420,75
21.06.2025 04:00;21.06.2025 05:00;3.923,50;1.899,00;455,75;4.872,25;9,75;106,00;-;6.417,75;4.404,25;3.195,50;379,25;1.445,75
21.06.2025 05:00;21.06.2025 06:00;3.908,50;1.836,00;604,75;5.144,25;811,50;106,00;-;6.453,00;3.797,25;3.089,25;155,75;1.449,75
21.06.2025 06:00;21.06.2025 07:00;3.928,75;1.897,00;634,75;5.060,25;4.760,25;106,00;-;6.310,75;2.948,50;2.704,25;416,00;1.440,25
21.06.2025 07:00;21.06.2025 08:00;3.912,75;1.879,50;649,75;4.333,75;12.889,50;106,00;-;5.306,25;1.549,75;2.472,00;482,00;1.433,25
21.06.2025 08:00;21.06.2025 09:00;3.871,25;1.864,75;672,25;2.438,00;23.920,25;106,00;-;3.021,25;860,75;2.222,25;282,75;1.417,75
21.06.2025 09:00;21.06.2025 10:00;3.846,50;1.753,75;313,50;1.264,00;34.104,50;106,00;-;2.913,75;803,50;1.681,75;107,00;1.380,25
21.06.2025 10:00;21.06.2025 11:00;3.809,00;1.783,25;333,25;874,00;40.409,50;106,00;-;2.561,75;779,25;1.701,50;131,75;1.385,25
21.06.2025 11:00;21.06.2025 12:00;3.819,00;1.755,25;471,50;683,75;42.241,00;96,75;-;2.307,75;764,50;1.589,75;99,50;1.392,00
21.06.2025 12:00;21.06.2025 13:00;3.827,75;1.766,00;301,00;711,50;42.567,00;106,00;-;2.275,00;756,00;1.557,00;64,75;1.365,25
21.06.2025 13:00;21.06.2025 14:00;3.836,75;1.681,25;501,50;719,00;43.964,25;106,00;-;2.276,50;675,25;1.561,00;158,50;1.348,50
21.06.2025 14:00;21.06.2025 15:00;3.814,00;1.697,50;565,00;731,00;43.980,50;106,00;-;2.278,25;708,75;1.509,50;111,00;1.390,00
